index, memory location, data type, hex value, dec, voltage
[353], 0x001EC2, int, 0x07F4, 2036, 1.63992919921875
[354], 0x001EC4, int, 0x083D, 2109, 1.69874267578125
[355], 0x001EC6, int, 0x084B, 2123, 1.71002197265625
[356], 0x001EC8, int, 0x087A, 2170, 1.74788818359375
[357], 0x001ECA, int, 0x0889, 2185, 1.75997314453125
[358], 0x001ECC, int, 0x0883, 2179, 1.75513916015625
[359], 0x001ECE, int, 0x0853, 2131, 1.71646728515625
[360], 0x001ED0, int, 0x0827, 2087, 1.68101806640625
[361], 0x001ED2, int, 0x07EC, 2028, 1.63348388671875
[362], 0x001ED4, int, 0x07C7, 1991, 1.60367431640625
[363], 0x001ED6, int, 0x078F, 1935, 1.55855712890625
[364], 0x001ED8, int, 0x078C, 1932, 1.55614013671875
[365], 0x001EDA, int, 0x0788, 1928, 1.55291748046875
[366], 0x001EDC, int, 0x07B7, 1975, 1.59078369140625
[367], 0x001EDE, int, 0x07DB, 2011, 1.61978759765625
[368], 0x001EE0, int, 0x0824, 2084, 1.67860107421875
[369], 0x001EE2, int, 0x0849, 2121, 1.70841064453125
[370], 0x001EE4, int, 0x087F, 2175, 1.75191650390625
[371], 0x001EE6, int, 0x0887, 2183, 1.75836181640625
[372], 0x001EE8, int, 0x08A6, 2214, 1.78333740234375
[373], 0x001EEA, int, 0x088E, 2190, 1.76400146484375
[374], 0x001EEC, int, 0x0851, 2129, 1.71485595703125
[375], 0x001EEE, int, 0x081F, 2079, 1.67457275390625
[376], 0x001EF0, int, 0x07CC, 1996, 1.60770263671875
[377], 0x001EF2, int, 0x07A8, 1960, 1.57869873046875
[378], 0x001EF4, int, 0x077F, 1919, 1.54566650390625
[379], 0x001EF6, int, 0x076D, 1901, 1.53116455078125
[380], 0x001EF8, int, 0x077C, 1916, 1.54324951171875
[381], 0x001EFA, int, 0x079C, 1948, 1.56903076171875
[382], 0x001EFC, int, 0x07EB, 2027, 1.63267822265625
[383], 0x001EFE, int, 0x07FB, 2043, 1.64556884765625
[384], 0x001F00, int, 0x0840, 2112, 1.70115966796875
[385], 0x001F02, int, 0x0867, 2151, 1.73258056640625
[386], 0x001F04, int, 0x088B, 2187, 1.76158447265625
[387], 0x001F06, int, 0x086F, 2159, 1.73902587890625
[388], 0x001F08, int, 0x086C, 2156, 1.73660888671875
[389], 0x001F0A, int, 0x0833, 2099, 1.69068603515625
[390], 0x001F0C, int, 0x07FF, 2047, 1.64879150390625
[391], 0x001F0E, int, 0x07BF, 1983, 1.59722900390625
[392], 0x001F10, int, 0x0799, 1945, 1.56661376953125
[393], 0x001F12, int, 0x0780, 1920, 1.54647216796875
[394], 0x001F14, int, 0x077F, 1919, 1.54566650390625
[395], 0x001F16, int, 0x077F, 1919, 1.54566650390625
[396], 0x001F18, int, 0x07C0, 1984, 1.59803466796875
[397], 0x001F1A, int, 0x07D7, 2007, 1.61656494140625
[398], 0x001F1C, int, 0x082E, 2094, 1.68665771484375
[399], 0x001F1E, int, 0x0844, 2116, 1.70438232421875
[400], 0x001F20, int, 0x0881, 2177, 1.75352783203125
[401], 0x001F22, int, 0x0887, 2183, 1.75836181640625
[402], 0x001F24, int, 0x089F, 2207, 1.77769775390625
[403], 0x001F26, int, 0x087E, 2174, 1.75111083984375
[404], 0x001F28, int, 0x0851, 2129, 1.71485595703125
[405], 0x001F2A, int, 0x081F, 2079, 1.67457275390625
[406], 0x001F2C, int, 0x07EB, 2027, 1.63267822265625
[407], 0x001F2E, int, 0x07BF, 1983, 1.59722900390625
[408], 0x001F30, int, 0x07A9, 1961, 1.57950439453125
[409], 0x001F32, int, 0x0793, 1939, 1.56177978515625
[410], 0x001F34, int, 0x07A2, 1954, 1.57386474609375
[411], 0x001F36, int, 0x07D8, 2008, 1.61737060546875
[412], 0x001F38, int, 0x07FF, 2047, 1.64879150390625
[413], 0x001F3A, int, 0x082F, 2095, 1.68746337890625
[414], 0x001F3C, int, 0x087A, 2170, 1.74788818359375
